duration,event,EAD,PD_30d,PD_90d,PD_180d,PD_365d,EL_30d,EL_90d,EL_180d,EL_365d,PD_30d_after,PD_90d_after,PD_180d_after,PD_365d_after,EL_30d_after,EL_90d_after,EL_180d_after,EL_365d_after
365.0,0,180000000.0,0.0,0.0,2.0008114285707812e-05,0.0006471794906196537,0.0,0.0,1800.730285713703,58246.15415576884,0.0,0.0,2.0008114285707812e-05,0.0006471794906196537,0.0,0.0,1800.730285713703,58246.15415576884
184.0,0,1300000000.0,0.0,0.0,1.9582719169797258e-05,0.0006334239475613845,0.0,0.0,12728.767460368217,411725.5659148999,0.0,0.0,1.9582719169797258e-05,0.0006334239475613845,0.0,0.0,12728.767460368217,411725.5659148999
365.0,0,300000000.0,0.0,0.0,1.7982580498676626e-05,0.0005816803459606223,0.0,0.0,2697.387074801494,87252.05189409335,0.0,0.0,1.7982580498676626e-05,0.0005816803459606223,0.0,0.0,2697.387074801494,87252.05189409335
1826.0,0,56800000.0,0.0,0.0,1.51284155395226e-05,0.0004893789152805583,0.0,0.0,429.64700132244184,13898.361193967856,0.0,0.0,1.51284155395226e-05,0.0004893789152805583,0.0,0.0,429.64700132244184,13898.361193967856
366.0,0,52000000.0,0.0,0.0,1.8435444004372137e-05,0.0005963248331768423,0.0,0.0,479.32154411367554,15504.445662597898,0.0,0.0,1.8435444004372137e-05,0.0005963248331768423,0.0,0.0,479.32154411367554,15504.445662597898
1096.0,0,13999999.0,0.0,0.0,1.8528322251354368e-05,0.0005993282605782912,0.0,0.0,129.69824649531944,4195.297524383908,0.0,0.0,1.8528322251354368e-05,0.0005993282605782912,0.0,0.0,129.69824649531944,4195.297524383908
1826.0,0,14000000.0,0.0,0.0,1.646769601815201e-05,0.0005326912122370908,0.0,0.0,115.27387212706408,3728.838485659636,0.0,0.0,1.646769601815201e-05,0.0005326912122370908,0.0,0.0,115.27387212706408,3728.838485659636
365.0,0,150000000.0,0.0,0.0,1.838545954224724e-05,0.0005947084693408433,0.0,0.0,1378.909465668543,44603.13520056325,0.0,0.0,1.838545954224724e-05,0.0005947084693408433,0.0,0.0,1378.909465668543,44603.13520056325
365.0,0,700000000.0,0.0,0.0,1.9025005042694332e-05,0.000615389469374561,0.0,0.0,6658.7517649430165,215386.31428109633,0.0,0.0,1.9025005042694332e-05,0.000615389469374561,0.0,0.0,6658.7517649430165,215386.31428109633
1096.0,0,26066107.0,0.0,0.0,1.820500531735103e-05,0.0005888730411998111,0.0,0.0,237.26680826882045,7674.813850664842,0.0,0.0,1.820500531735103e-05,0.0005888730411998111,0.0,0.0,237.26680826882045,7674.813850664842
2190.0,0,38380282.0,0.0,0.0,1.8675906340637205e-05,0.0006041007066717174,0.0,0.0,358.393275979622,11592.777739229898,0.0,0.0,1.8675906340637205e-05,0.0006041007066717174,0.0,0.0,358.393275979622,11592.777739229898
366.0,0,260000000.0,0.0,0.0,1.825362912122319e-05,0.0005904454139167292,0.0,0.0,2372.971785759015,76757.9038091748,0.0,0.0,1.825362912122319e-05,0.0005904454139167292,0.0,0.0,2372.971785759015,76757.9038091748
1095.0,0,10048087.0,0.0,0.0,1.8089646820262928e-05,0.0005851426251213265,0.0,0.0,90.88317252463763,2939.7820023137374,0.0,0.0,1.8089646820262928e-05,0.0005851426251213265,0.0,0.0,90.88317252463763,2939.7820023137374
365.0,0,230000000.0,0.0,0.0,1.8252414657471405e-05,0.0005904061412128625,0.0,0.0,2099.0276856092114,67896.70623947919,0.0,0.0,1.8252414657471405e-05,0.0005904061412128625,0.0,0.0,2099.0276856092114,67896.70623947919
