duration,event,EAD,PD_30d,PD_90d,PD_180d,PD_365d,EL_30d,EL_90d,EL_180d,EL_365d
730.0,0,210000000.0,0.0,0.0,1.5932785854100295e-05,0.0005153124247165852,0.0,0.0,1672.942514680531,54107.80459524145
1096.0,0,5958628.0,0.0,0.0,1.9409800579128778e-05,0.0006277349357488582,0.0,0.0,57.82789060260647,1870.2194823656737
365.0,0,160000000.0,0.0,0.0,1.8853645810446018e-05,0.000609753575929961,0.0,0.0,1508.2916648356813,48780.286074396885
1826.0,0,128900000.0,0.0,0.0,1.7249884442516183e-05,0.0005578996887292131,0.0,0.0,1111.755052320168,35956.63493859779
7305.0,0,595000000.0,0.0,0.0,1.583736579124917e-05,0.0005122270297267528,0.0,0.0,4711.616322896628,152387.54134370896
365.0,0,280000000.0,0.0,0.0,1.9210276552605876e-05,0.0006212840457127111,0.0,0.0,2689.438717364823,86979.76639977956
365.0,0,20883606.0,0.0,0.0,1.8714893658233756e-05,0.0006052674513955525,0.0,0.0,195.41723274522622,6320.083489784434
365.0,0,300000000.0,0.0,0.0,2.5694158509614873e-05,0.0008308963418400817,0.0,0.0,3854.123776442231,124634.45127601225
366.0,1,460000000.0,0.0,0.0,3.5274139207897015e-05,0.0011405219898427132,0.0,0.0,8113.052017816313,262320.05766382406
1096.0,0,19143408.0,0.0,0.0,3.6461194643178096e-05,0.0011788812296397166,0.0,0.0,348.99576261088635,11283.902181267395
3653.0,0,433328000.0,0.0,0.0,2.2263084503926223e-05,0.0007199811697435887,0.0,0.0,4823.608940958671,155994.00016132492
1826.0,0,126000000.0,0.0,0.0,1.7391936274480102e-05,0.0005624927089852294,0.0,0.0,1095.6919852922465,35437.04066606945
1096.0,0,46330750.0,0.0,0.0,1.971532699651668e-05,0.0006376129527095875,0.0,0.0,456.7129431219326,14770.54315437486
366.0,0,150000000.0,0.0,0.0,1.8868367288482624e-05,0.0006102295485447273,0.0,0.0,1415.1275466361967,45767.21614085455
31.0,0,13590000000.0,0.0,0.0,1.8837392560144828e-05,0.0006092280780277681,0.0,0.0,128000.08244618411,4139704.790198684
1096.0,0,9729667.0,0.0,0.0,1.8478527497256536e-05,0.0005976252328604437,0.0,0.0,89.89495959932475,2907.347253264787
761.0,0,100000000.0,0.0,0.0,3.362668653372758e-05,0.0010872828247819877,0.0,0.0,1681.334326686379,54364.14123909939
366.0,0,600000000.0,0.0,0.0,1.9510293103430776e-05,0.0006309839839274689,0.0,0.0,5853.087931029233,189295.19517824068
366.0,0,745000000.0,0.0,0.0,1.9129289230201962e-05,0.0006186656011168967,0.0,0.0,7125.660238250231,230452.93641604402
1127.0,0,8555000.0,0.0,0.0,3.9558555098739845e-05,0.001278964519323078,0.0,0.0,169.21171943485967,5470.7707314044665
1096.0,0,27665001.0,0.0,0.0,1.9386481253991228e-05,0.0006269809915286917,0.0,0.0,268.1635116390743,8672.714878811124
365.0,0,100000000.0,0.0,0.0,1.913826993538148e-05,0.0006189559614449003,0.0,0.0,956.913496769074,30947.798072245016
