PD_30d,PD_90d,PD_180d,PD_365d,PD_30d_refit,PD_90d_refit,PD_180d_refit,PD_365d_refit,EAD
0.0,0.0,1.6435761902133805e-05,0.0005315759355175587,0.0,0.0,1.0657390785873133e-05,0.0003502851932771778,72220000.0
0.0,0.0,1.899388205439667e-05,0.0006142876641811457,0.0,0.0,1.2855491008711972e-05,0.00042251715351593333,70000000.0
0.0,0.0,2.006673002830084e-05,0.0006489740958560697,0.0,0.0,1.3739061667905617e-05,0.0004515508189002482,1054350.0
0.0,0.0,2.7160836686856982e-05,0.0008783055125046735,0.0,0.0,2.054423720976306e-05,0.0006751378958905763,33707123.0
0.0,0.0,1.6261392914773687e-05,0.0005259378195232589,0.0,0.0,1.0298788780005452e-05,0.00033850066180063365,600000000.0
0.0,0.0,1.8031606792368038e-05,0.0005831751852604095,0.0,0.0,1.178898561748909e-05,0.0003874712602763841,220265360.0
0.0,0.0,1.5772133799552e-05,0.0005101177566733117,0.0,0.0,9.940525106166831e-06,0.0003267271142251005,40000000.0
0.0,0.0,1.8937942963481724e-05,0.0006124790558471593,0.0,0.0,1.2781583751841907e-05,0.0004200885630183393,400000000.0
0.0,0.0,2.0236978546916973e-05,0.0006544783226266615,0.0,0.0,1.399866841078623e-05,0.0004600812039962099,21540312.0
0.0,0.0,1.4672506291057985e-05,0.00047456070919749127,0.0,0.0,9.113265367899359e-06,0.0002995405289936137,928000000.0
0.0,0.0,2.107739159751265e-05,0.0006816489010277316,0.0,0.0,1.4472172470858524e-05,0.0004756398321802413,19208711.0
0.0,0.0,1.4944567282015875e-05,0.00048335806193000597,0.0,0.0,9.170621897092168e-06,0.0003014254838997754,1279971000.0
0.0,0.0,1.673388371403739e-05,0.0005412154530247681,0.0,0.0,1.0667257848595568e-05,0.0003506094469825083,34000000.0
0.0,0.0,1.9526034380268342e-05,0.0006314929180399886,0.0,0.0,1.3322644196622768e-05,0.0004378676625108602,246185.0
0.0,0.0,1.940958649393476e-05,0.000627728014097606,0.0,0.0,1.3176626109667744e-05,0.00043306957797817347,12114651.0
0.0,0.0,3.2587307501885654e-05,0.001053692783977489,0.0,0.0,2.4286730949896196e-05,0.0007980785285581771,501229103.0
0.0,0.0,1.8880730922377076e-05,0.0006106292875315278,0.0,0.0,1.2786776981243975e-05,0.000420259212584817,250000000.0
0.0,0.0,3.832588120866731e-05,0.001239134976206202,0.0,0.0,3.382962927434008e-05,0.0011114956413879051,14517446.0
0.0,0.0,1.9774404563688286e-05,0.000639522986809471,0.0,0.0,1.3855212841584752e-05,0.0004553674243344963,230000000.0
0.0,0.0,1.9813804618462605e-05,0.0006407968261976649,0.0,0.0,1.38891357276405e-05,0.00045648209203708046,347500000.0
0.0,0.0,3.506585413282082e-05,0.0011337911905322517,0.0,0.0,2.742359634544389e-05,0.0009011130194739314,10480000.0
0.0,0.0,1.948223170944452e-05,0.0006300767252246375,0.0,0.0,1.3210542981201279e-05,0.0004341840721520107,49352845.0
