found,reason,prob_orig,prob_final,changes,index,_error
False,already_good,4.079712098746835e-06,4.079712098746835e-06,{},29112,
False,,0.9998516912148134,0.9998516912148134,{},74257,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},11300,
False,,0.9999111517474472,0.9999111517474472,{},9396,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},68978,
False,already_good,0.362616822064029,0.362616822064029,{},8918,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},36743,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},49155,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},25435,
False,already_good,4.06006249056348e-06,4.06006249056348e-06,{},32546,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},60588,
False,already_good,4.105587124130202e-06,4.105587124130202e-06,{},20204,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},80413,
False,already_good,0.19342656382214263,0.19342656382214263,{},9835,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},12447,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},47096,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},80911,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},10182,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},22066,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},39218,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},76017,
False,already_good,4.550426371425848e-06,4.550426371425848e-06,{},82533,
False,,0.9817008675659228,0.9817008675659228,{},52612,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},65042,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},50948,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},74878,
False,already_good,5.500507358762064e-06,5.500507358762064e-06,{},36462,
False,already_good,4.06006249056348e-06,4.06006249056348e-06,{},26644,
False,already_good,4.628137105213406e-06,4.628137105213406e-06,{},14342,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},68430,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},38642,
False,,0.9694082048526803,0.9694082048526803,{},49731,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},55624,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},7223,
False,already_good,4.614862159812388e-06,4.614862159812388e-06,{},53995,
False,already_good,4.111906930271057e-06,4.111906930271057e-06,{},19266,
False,already_good,4.587589702451971e-06,4.587589702451971e-06,{},80453,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},6620,
False,already_good,4.48739970642422e-06,4.48739970642422e-06,{},6598,
False,already_good,5.053201834305857e-06,5.053201834305857e-06,{},79165,
False,already_good,4.537374323714299e-06,4.537374323714299e-06,{},72972,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},70647,
False,already_good,4.550426371425848e-06,4.550426371425848e-06,{},53673,
False,already_good,1.3989973933581643e-05,1.3989973933581643e-05,{},49240,
False,already_good,5.592809221345166e-06,5.592809221345166e-06,{},28551,
False,,0.9716302914884296,0.9716302914884296,{},55064,
False,already_good,4.574431059157678e-06,4.574431059157678e-06,{},77864,
False,already_good,4.550426371425848e-06,4.550426371425848e-06,{},78096,
